Source:,C:\Users\siddh\Desktop\IITB_23-24_spring\EE 344 Electronic Design Lab\Project-p17\circuit_and_pcb\amp\amp.kicad_sch,,,,,,,,,,,,
Date:,19-03-2024 15:52,,,,,,,,,,,,
Tool:,Eeschema 7.0.10,,,,,,,,,,,,
Generator:,C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,,,,,,
Component Count:,30,,,,,,,,,,,,
,,,,,,,,,,,,,
Collated Components:,,,,,,,,,,,,,
,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,DNP,Height,Manufacturer_Name,Manufacturer_Part_Number,Mouser Part Number,Mouser Price/Stock,Sim.Enable
1,1,C1,22p,Device:C,Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm,~,,,,,,,
2,1,Opamp_IC1,LF411CP,SamacSys_Parts:LF411CP,SamacSys_Parts:DIP794W53P254L959H508Q8N,http://www.ti.com/lit/ds/symlink/lf411.pdf,,5.08,Texas Instruments,LF411CP,595-LF411CP,https://www.mouser.co.uk/ProductDetail/Texas-Instruments/LF411CP?qs=JS6RUWRH9DWau2Mor%2F%252BoLg%3D%3D,
3,1,Power_input1,Conn_01x03,Connector_Generic:Conn_01x03,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,~,,,,,,,
4,3,"Qb1, QCS1, QCS2",2N5551,SamacSys_Parts:2N5551,Package_TO_SOT_THT:TO-92L_Inline_Wide,http://www.onsemi.com/pub/Collateral/2N5550-D.PDF,,5.33,onsemi,2N5551,863-2N5551,https://www.mouser.co.uk/ProductDetail/onsemi/2N5551?qs=vLkC5FC1VN9fmjXMZdtXVg%3D%3D,
5,1,QCE1,2N3906,Transistor_BJT:2N3906,Package_TO_SOT_THT:TO-92L_Inline_Wide,https://www.onsemi.com/pub/Collateral/2N3906-D.PDF,,,,,,,0
6,1,QO1,MJE15034G,SamacSys_Parts:MJE15034G,SamacSys_Parts:TO254P483X1010X2035-3P,http://www.onsemi.com/pub/Collateral/MJE15034-D.PDF,,4.83,onsemi,MJE15034G,863-MJE15034G,https://www.mouser.co.uk/ProductDetail/onsemi/MJE15034G?qs=HVbQlW5zcXV7QTziNO9oMQ%3D%3D,
7,1,QO2,MJE15035G,SamacSys_Parts:MJE15035G,SamacSys_Parts:TO254P483X1010X2035-3P,http://www.onsemi.com/pub/Collateral/MJE15034-D.PDF,,4.83,onsemi,MJE15035G,863-MJE15035G,https://www.mouser.co.uk/ProductDetail/onsemi/MJE15035G?qs=HVbQlW5zcXXa%252Byhv1vIoqQ%3D%3D,
8,1,QO3,NJW3281G,SamacSys_Parts:NJW3281G,SamacSys_Parts:TO545P500X1560X2380-3P,https://www.onsemi.com/pub/Collateral/NJW3281-D.PDF,,5,onsemi,NJW3281G,863-NJW3281G,https://www.mouser.co.uk/ProductDetail/onsemi/NJW3281G?qs=WOJDpfhxrCaDJlemeW6i8g%3D%3D,
9,1,QO4,NJW1302G,SamacSys_Parts:NJW1302G,SamacSys_Parts:TO545P500X1560X2380-3P,http://www.onsemi.com/pub/Collateral/NJW3281-D.PDF,,5,onsemi,NJW1302G,863-NJW1302G,https://www.mouser.co.uk/ProductDetail/onsemi/NJW1302G?qs=WOJDpfhxrCZWcBqHAA%2FzUg%3D%3D,
10,1,R1,470,Device:R,Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,~,,,,,,,
11,1,RA1,100k,Device:R,Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,~,,,,,,,
12,2,"RA2, RA3",22k,Device:R,Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,~,,,,,,,
13,1,RB1,5.6k,Device:R,Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,~,,,,,,,
14,1,RB_pot1,5k,Device:R_Potentiometer,Potentiometer_THT:Potentiometer_Bourns_3386P_Vertical,~,,,,,,,
15,1,RCS1,68,Device:R,Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,~,47+10+10,,,,,,
16,1,RCS2,12k,Device:R,Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,~,,,,,,,
17,1,RE1,22,Device:R,Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,~,47||47,,,,,,
18,1,RF1,82k,Device:R,Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,~,,,,,,,
19,1,RO1,3.3k,Device:R,Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,~,,,,,,,
20,1,RO2,820,Device:R,Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,~,,,,,,,
21,1,RO_pot2,2K,Device:R_Potentiometer,Potentiometer_THT:Potentiometer_Bourns_3386P_Vertical,~,5k pot,,,,,,
22,4,"ROE1, ROE2, ROE3, ROE4",1k,Device:R,Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,~,,,,,,,
23,2,"Vin1, Vout1",Conn_01x02,Connector_Generic:Conn_01x02,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~,,,,,,,
